streaming_log,KSQI,SENSEI_KSQI,P1203,Bentaleb2016QoE
trace5-08e1_phase_2_2.csv,64.532,86.509,0.022,62.533
trace5-08e1_phase_2_3.csv,63.025,87.509,0.022,61.209
trace5-08e1_phase_2_4.csv,62.465,87.437,0.02,61.149
trace5-1a6d_2.csv,40.642,11.025,-0.222,35.038
trace5-1a6d_3.csv,47.499,10.596,-0.004,47.637
trace5-1a6d_4.csv,52.516,9.914,0.054,52.56
trace5-1a6d_5.csv,63.616,9.596,0.119,63.736
trace5-1a6d_phase_2_1.csv,74.508,11.311,-0.182,72.34
trace5-1a6d_phase_2_2.csv,73.563,11.096,-0.182,71.796
trace5-1a6d_phase_2_3.csv,73.208,10.096,-0.221,71.407
trace5-1a6d_phase_2_4.csv,79.924,12.0,-0.219,76.669
trace5-2abf_2.csv,38.487,3.94,0.577,26.037
trace5-2abf_3.csv,46.369,2.348,0.48,35.376
trace5-2abf_4.csv,49.239,0.049,0.501,44.494
trace5-2abf_5.csv,55.5,0.167,0.528,54.023
trace5-2abf_phase_2_1.csv,30.342,4.018,0.57,11.034
trace5-2abf_phase_2_2.csv,23.781,5.518,0.57,9.976
trace5-2abf_phase_2_3.csv,33.482,8.018,0.571,20.411
trace5-2abf_phase_2_4.csv,37.534,5.018,0.572,24.326
trace5-2c06_2.csv,45.705,1.747,0.412,34.8
trace5-2c06_3.csv,56.513,2.069,0.311,45.04
trace5-2c06_4.csv,61.072,0.0,0.441,57.034
trace5-2c06_5.csv,75.622,0.0,0.366,71.37
trace5-2c06_phase_2_1.csv,11.561,4.821,0.41,-6.519
trace5-2c06_phase_2_2.csv,12.495,1.488,0.41,0.163
trace5-2c06_phase_2_3.csv,22.934,2.988,0.41,10.54
trace5-2c06_phase_2_4.csv,33.568,2.488,0.41,21.175
trace5-4b69_1.csv,7.028,9.995,0.182,-9.407
trace5-4b69_2.csv,8.599,10.307,0.217,-2.08
trace5-4b69_3.csv,18.894,11.106,0.233,8.162
trace5-4b69_5.csv,68.357,11.328,0.204,58.196
trace5-4b69_phase_2_1.csv,72.89,20.223,0.164,66.447
trace5-4b69_phase_2_2.csv,73.946,20.223,0.164,67.595
trace5-4b69_phase_2_3.csv,73.005,19.509,0.164,66.492
trace5-4b69_phase_2_4.csv,76.642,17.802,0.166,66.938
trace5-6403_1.csv,10.913,13.227,0.189,0.267
trace5-6403_2.csv,12.501,15.22,0.002,7.003
trace5-6403_3.csv,17.38,8.334,0.15,16.564
trace5-6403_4.csv,25.151,16.087,0.172,26.62
trace5-6403_phase_2_1.csv,71.758,29.625,0.027,74.485
trace5-6403_phase_2_2.csv,70.988,30.09,0.027,73.665
trace5-6403_phase_2_3.csv,71.922,28.673,0.012,74.645
trace5-6403_phase_2_4.csv,71.512,28.84,0.009,74.847
trace5-6658_1.csv,9.328,0.0,0.616,-20.094
trace5-6658_3.csv,39.506,0.0,0.636,22.209
trace5-6658_4.csv,40.747,0.0,0.739,31.365
trace5-6658_5.csv,51.723,0.0,0.669,42.374
trace5-6658_phase_2_1.csv,8.072,0.0,0.618,-16.872
trace5-6658_phase_2_2.csv,11.429,0.0,0.711,-8.9
trace5-6658_phase_2_3.csv,21.147,0.0,0.713,1.021
trace5-6658_phase_2_4.csv,30.293,2.132,0.715,10.003
trace6-06a6_1.csv,3.89,0.0,0.56,-22.744
trace6-06a6_3.csv,47.549,0.0,0.576,29.749
trace6-06a6_4.csv,52.113,0.0,0.591,41.155
trace6-06a6_5.csv,57.87,0.0,0.611,52.414
trace6-06a6_phase_2_1.csv,3.033,0.0,0.654,-17.844
trace6-06a6_phase_2_2.csv,14.071,0.0,0.656,-6.804
trace6-06a6_phase_2_3.csv,25.008,0.0,0.658,4.124
trace6-06a6_phase_2_4.csv,36.204,0.0,0.66,15.32
trace6-08e1_1.csv,8.054,44.321,0.252,-7.959
trace6-08e1_2.csv,9.255,44.097,0.132,-3.696
trace6-08e1_3.csv,11.834,42.317,0.267,4.712
trace6-08e1_4.csv,18.792,65.871,0.288,14.219
trace6-08e1_phase_2_1.csv,35.446,100.0,0.069,33.931
trace6-08e1_phase_2_2.csv,64.396,100.0,0.069,62.533
trace6-08e1_phase_2_3.csv,62.889,100.0,0.069,61.209
trace6-08e1_phase_2_4.csv,62.329,100.0,0.067,61.149
trace6-1a6d_2.csv,41.25,10.551,0.121,35.038
trace6-1a6d_3.csv,48.907,10.081,0.252,47.637
trace6-1a6d_4.csv,52.606,9.171,0.277,52.56
trace6-1a6d_5.csv,63.616,8.838,0.204,63.736
trace6-1a6d_phase_2_1.csv,69.832,9.744,0.163,72.34
trace6-1a6d_phase_2_2.csv,68.887,9.53,0.163,71.796
trace6-1a6d_phase_2_3.csv,68.532,8.53,0.131,71.407
trace6-1a6d_phase_2_4.csv,74.192,10.488,0.132,76.669
trace6-2abf_2.csv,38.656,3.562,0.594,26.037
trace6-2abf_3.csv,46.926,2.0,0.499,35.376
trace6-2abf_4.csv,50.039,0.0,0.52,44.494
trace6-2abf_5.csv,55.5,0.0,0.546,54.023
trace6-2abf_phase_2_1.csv,30.442,3.628,0.587,11.034
trace6-2abf_phase_2_2.csv,23.881,5.128,0.587,9.976
trace6-2abf_phase_2_3.csv,33.582,7.628,0.588,20.411
trace6-2abf_phase_2_4.csv,37.634,4.628,0.589,24.326
trace6-2c06_2.csv,49.32,7.352,-0.064,47.882
trace6-2c06_3.csv,60.128,7.674,-0.243,58.121
trace6-2c06_4.csv,67.062,7.64,-0.008,70.116
trace6-2c06_5.csv,81.564,8.711,0.061,84.452
trace6-2c06_phase_2_1.csv,15.176,10.427,-0.004,6.563
trace6-2c06_phase_2_2.csv,16.11,7.093,-0.045,13.245
trace6-2c06_phase_2_3.csv,26.549,8.593,-0.049,23.622
trace6-2c06_phase_2_4.csv,37.183,8.093,-0.052,34.257
trace6-4b69_1.csv,5.376,12.092,0.211,-12.039
trace6-4b69_2.csv,6.948,12.405,0.299,-4.712
trace6-4b69_3.csv,17.243,13.203,0.314,5.53
trace6-4b69_5.csv,65.917,14.428,0.288,55.564
trace6-4b69_phase_2_1.csv,70.439,23.337,0.26,63.815
trace6-4b69_phase_2_2.csv,71.494,23.337,0.26,64.963
trace6-4b69_phase_2_3.csv,70.554,22.623,0.27,63.86
trace6-4b69_phase_2_4.csv,74.629,20.361,0.247,64.306
trace6-6403_1.csv,9.068,19.761,0.264,-6.274
